Read Num,Threads,Runs,Time Elapsed (sec),,,,Threads,Time 
1,1,1000000,359.742,,,,1,359.742
,,,,,,,5,93.4231
,,,,,,,10,53.573
Read Num,Threads,Runs,Time Elapsed (sec),,,,,
1,5,1000000,93.4231,,,,,
,,,,,,,,
,,,,,,,,
Read Num,Threads,Runs,Time Elapsed (sec),,,,,
1,10,1000000,53.573,,,,,
,,,,,,,,
,,,,,,,,
Insert Num,Threads,Runs,Time Elapased (sec),,,,Thread,Time
1,1,1000000,292.277,,,,1,292.277
,,,,,,,5,50.4352
,,,,,,,10,33.1243
Insert Num,Threads,Runs,Time Elapased (sec),,,,,
1,5,1000000,50.4352,,,,,
,,,,,,,,
,,,,,,,,
Insert Num,Threads,Runs,Time Elapased (sec),,,,,
1,10,1000000,33.1243,,,,,
,,,,,,,,
,,,,,,,,
Update Num,Threads,Runs,Time Elapsed (sec),,,,Thread,Time
1,1,1000000,244.058,,,,1,244.058
,,,,,,,5,50.5379
,,,,,,,10,32.4346
Update Num,Threads,Runs,Time Elapsed (sec),,,,,
1,5,1000000,50.5379,,,,,
,,,,,,,,
,,,,,,,,
Update Num,Threads,Runs,Time Elapsed (sec),,,,,
1,10,1000000,32.4346,,,,,
,,,,,,,,
,,,,,,,,
Delete Num,Threads,Runs,Time Elapsed (sec),,,,Thread,Time
1,1,1000000,214.632,,,,1,214.632
,,,,,,,5,45.8586
,,,,,,,10,27.4887
Delete Num,Threads,Runs,Time Elapsed (sec),,,,,
1,5,1000000,45.8586,,,,,
,,,,,,,,
,,,,,,,,
Delete Num,Threads,Runs,Time Elapsed (sec),,,,,
1,10,1000000,27.4887,,,,,
,,,,,,,,
,,,,,,,,
10 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks,,,Thread,Time
1,10,1000000,34.4712,,,,1,34.4712
,,,,,,,5,18.8325
,,,,,,,10,15.7323
50 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks,,,,
1,50,1000000,18.8325,,,,,
,,,,,,,,
,,,,,,,,
100 Simul. Tasks Num,Threads,Runs,Time Elapsed (sec),Average Time per Tasks,,,,
1,100,1000000,15.7323,,,,,
,,,,,,,,
,,,,,,,,
10 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks,,,Thread,Time
1,10,1000000,71.9429,,,,1,71.9429
,,,,,,,5,32.7332
,,,,,,,10,29.176
50 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks,,,,
1,50,1000000,32.7332,,,,,
,,,,,,,,
,,,,,,,,
100 Simul. Transactions,Threads,Runs,Time Elapsed (sec),Average Time per Tasks,,,,
1,100,1000000,29.176,,,,,